Kom.nr;Aarstal;GruppeId;Tal
101;2019;80;5.522
147;2019;80;16.359
151;2019;80;13.617
153;2019;80;5.098
155;2019;80;17.548
157;2019;80;21.330
159;2019;80;19.211
161;2019;80;9.857
163;2019;80;11.554
165;2019;80;27.110
167;2019;80;9.622
169;2019;80;14.035
173;2019;80;9.491
175;2019;80;16.139
183;2019;80;27.344
185;2019;80;1.092
187;2019;80;24.223
190;2019;80;62.485
201;2019;80;10.834
210;2019;80;10.891
217;2019;80;10.109
219;2019;80;12.066
223;2019;80;11.113
230;2019;80;17.693
240;2019;80;24.576
250;2019;80;18.794
260;2019;80;26.235
270;2019;80;17.913
400;2019;80;16.069
253;2019;80;15.475
259;2019;80;17.947
265;2019;80;14.510
269;2019;80;14.585
306;2019;80;18.413
316;2019;80;19.841
320;2019;80;11.526
326;2019;80;9.465
329;2019;80;12.607
330;2019;80;17.236
336;2019;80;13.873
340;2019;80;25.714
350;2019;80;17.689
360;2019;80;27.984
370;2019;80;19.401
376;2019;80;26.601
390;2019;80;21.749
410;2019;80;13.577
420;2019;80;22.004
430;2019;80;10.275
440;2019;80;22.933
450;2019;80;1.672
461;2019;80;8.500
479;2019;80;23.001
480;2019;80;7.087
482;2019;80;19.276
492;2019;80;47.264
510;2019;80;14.899
530;2019;80;5.060
540;2019;80;18.336
550;2019;80;13.421
561;2019;80;14.946
563;2019;80;15.212
573;2019;80;15.873
575;2019;80;12.701
580;2019;80;14.524
607;2019;80;21.054
621;2019;80;15.172
630;2019;80;14.216
615;2019;80;16.491
657;2019;80;11.008
661;2019;80;15.239
665;2019;80;19.805
671;2019;80;22.811
706;2019;80;14.847
707;2019;80;26.201
710;2019;80;13.910
727;2019;80;17.578
730;2019;80;17.712
740;2019;80;9.638
741;2019;80;111.599
746;2019;80;12.139
751;2019;80;20.183
756;2019;80;12.217
760;2019;80;17.044
766;2019;80;10.954
779;2019;80;19.886
791;2019;80;12.840
773;2019;80;19.785
787;2019;80;16.561
810;2019;80;17.832
813;2019;80;20.521
820;2019;80;24.715
825;2019;80;44.895
840;2019;80;11.342
846;2019;80;23.168
849;2019;80;23.395
851;2019;80;9.286
860;2019;80;24.354
101;2020;80;4.339
147;2020;80;17.427
151;2020;80;15.887
