Id;Kom.nr;Aarstal;GruppeId;Tal
1;101;2019;80;5.522
2;147;2019;80;16.359
3;151;2019;80;13.617
4;153;2019;80;5.098
5;155;2019;80;17.548
6;157;2019;80;21.330
7;159;2019;80;19.211
8;161;2019;80;9.857
9;163;2019;80;11.554
10;165;2019;80;27.110
11;167;2019;80;9.622
12;169;2019;80;14.035
13;173;2019;80;9.491
14;175;2019;80;16.139
15;183;2019;80;27.344
16;185;2019;80;1.092
17;187;2019;80;24.223
18;190;2019;80;62.485
19;201;2019;80;10.834
20;210;2019;80;10.891
21;217;2019;80;10.109
22;219;2019;80;12.066
23;223;2019;80;11.113
24;230;2019;80;17.693
25;240;2019;80;24.576
26;250;2019;80;18.794
27;260;2019;80;26.235
28;270;2019;80;17.913
29;400;2019;80;16.069
30;253;2019;80;15.475
31;259;2019;80;17.947
32;265;2019;80;14.510
33;269;2019;80;14.585
34;306;2019;80;18.413
35;316;2019;80;19.841
36;320;2019;80;11.526
37;326;2019;80;9.465
38;329;2019;80;12.607
39;330;2019;80;17.236
40;336;2019;80;13.873
41;340;2019;80;25.714
42;350;2019;80;17.689
43;360;2019;80;27.984
44;370;2019;80;19.401
45;376;2019;80;26.601
46;390;2019;80;21.749
47;410;2019;80;13.577
48;420;2019;80;22.004
49;430;2019;80;10.275
50;440;2019;80;22.933
51;450;2019;80;1.672
52;461;2019;80;8.500
53;479;2019;80;23.001
54;480;2019;80;7.087
55;482;2019;80;19.276
56;492;2019;80;47.264
57;510;2019;80;14.899
58;530;2019;80;5.060
59;540;2019;80;18.336
60;550;2019;80;13.421
61;561;2019;80;14.946
62;563;2019;80;15.212
63;573;2019;80;15.873
64;575;2019;80;12.701
65;580;2019;80;14.524
66;607;2019;80;21.054
67;621;2019;80;15.172
68;630;2019;80;14.216
69;615;2019;80;16.491
70;657;2019;80;11.008
71;661;2019;80;15.239
72;665;2019;80;19.805
73;671;2019;80;22.811
74;706;2019;80;14.847
75;707;2019;80;26.201
76;710;2019;80;13.910
77;727;2019;80;17.578
78;730;2019;80;17.712
79;740;2019;80;9.638
80;741;2019;80;111.599
81;746;2019;80;12.139
82;751;2019;80;20.183
83;756;2019;80;12.217
84;760;2019;80;17.044
85;766;2019;80;10.954
86;779;2019;80;19.886
87;791;2019;80;12.840
88;773;2019;80;19.785
89;787;2019;80;16.561
90;810;2019;80;17.832
91;813;2019;80;20.521
92;820;2019;80;24.715
93;825;2019;80;44.895
94;840;2019;80;11.342
95;846;2019;80;23.168
96;849;2019;80;23.395
97;851;2019;80;9.286
98;860;2019;80;24.354
99;101;2020;80;4.339
100;147;2020;80;17.427
101;151;2020;80;15.887
102;153;2020;80;6.181
103;155;2020;80;21.447
104;157;2020;80;25.456
105;159;2020;80;21.221
106;161;2020;80;12.655
107;163;2020;80;13.687
108;165;2020;80;30.229
109;167;2020;80;12.156
110;169;2020;80;15.578
111;173;2020;80;10.714
112;175;2020;80;20.725
113;183;2020;80;29.041
114;185;2020;80;3.042
115;187;2020;80;26.010
116;190;2020;80;64.131
117;201;2020;80;13.651
118;210;2020;80;11.369
119;217;2020;80;11.393
120;219;2020;80;14.716
121;223;2020;80;18.294
122;230;2020;80;20.209
123;240;2020;80;26.014
124;250;2020;80;19.761
125;260;2020;80;28.605
126;270;2020;80;20.498
127;400;2020;80;18.787
128;253;2020;80;15.708
129;259;2020;80;19.729
130;265;2020;80;18.865
131;269;2020;80;15.563
132;306;2020;80;20.731
133;316;2020;80;21.041
134;320;2020;80;12.521
135;326;2020;80;7.463
136;329;2020;80;14.838
137;330;2020;80;20.447
138;336;2020;80;14.700
139;340;2020;80;26.198
140;350;2020;80;21.277
141;360;2020;80;30.935
142;370;2020;80;20.613
143;376;2020;80;27.842
144;390;2020;80;24.998
145;410;2020;80;15.922
146;420;2020;80;19.845
147;430;2020;80;11.805
148;440;2020;80;23.733
149;450;2020;80;641
150;461;2020;80;10.126
151;479;2020;80;25.032
152;480;2020;80;8.550
153;482;2020;80;20.710
154;492;2020;80;52.100
155;510;2020;80;17.571
156;530;2020;80;7.020
157;540;2020;80;20.149
158;550;2020;80;15.375
159;561;2020;80;18.307
160;563;2020;80;20.985
161;573;2020;80;17.525
162;575;2020;80;15.273
163;580;2020;80;16.633
164;607;2020;80;28.516
165;621;2020;80;19.353
166;630;2020;80;15.578
167;615;2020;80;16.595
168;657;2020;80;13.879
169;661;2020;80;18.009
170;665;2020;80;21.564
171;671;2020;80;24.994
172;706;2020;80;17.566
173;707;2020;80;25.346
174;710;2020;80;13.853
175;727;2020;80;18.229
176;730;2020;80;19.544
177;740;2020;80;11.146
178;741;2020;80;121.570
179;746;2020;80;16.146
180;751;2020;80;17.255
181;756;2020;80;18.581
182;760;2020;80;19.557
183;766;2020;80;14.047
184;779;2020;80;18.876
185;791;2020;80;14.450
186;773;2020;80;21.770
187;787;2020;80;18.955
188;810;2020;80;19.011
189;813;2020;80;21.326
190;820;2020;80;25.543
191;825;2020;80;74.341
192;840;2020;80;15.502
193;846;2020;80;23.252
194;849;2020;80;24.522
195;851;2020;80;12.090
196;860;2020;80;25.688
197;101;2021;80;4.151
198;147;2021;80;18.996
199;151;2021;80;15.847
200;153;2021;80;8.511
201;155;2021;80;20.761
202;157;2021;80;26.318
203;159;2021;80;17.900
204;161;2021;80;14.047
205;163;2021;80;14.008
206;165;2021;80;31.258
207;167;2021;80;12.131
208;169;2021;80;11.543
209;173;2021;80;10.174
210;175;2021;80;23.390
211;183;2021;80;26.015
212;185;2021;80;U
213;187;2021;80;26.382
214;190;2021;80;61.554
215;201;2021;80;13.368
216;210;2021;80;9.907
217;217;2021;80;10.268
218;219;2021;80;14.457
219;223;2021;80;15.919
220;230;2021;80;23.906
221;240;2021;80;12.856
222;250;2021;80;16.998
223;260;2021;80;29.447
224;270;2021;80;19.567
225;400;2021;80;18.370
226;253;2021;80;14.779
227;259;2021;80;20.472
228;265;2021;80;19.090
229;269;2021;80;14.496
230;306;2021;80;20.902
231;316;2021;80;19.492
232;320;2021;80;11.859
233;326;2021;80;6.424
234;329;2021;80;15.195
235;330;2021;80;18.543
236;336;2021;80;13.413
237;340;2021;80;23.862
238;350;2021;80;18.233
239;360;2021;80;30.919
240;370;2021;80;17.734
241;376;2021;80;26.316
242;390;2021;80;24.167
243;410;2021;80;15.805
244;420;2021;80;18.252
245;430;2021;80;11.012
246;440;2021;80;21.507
247;450;2021;80;586
248;461;2021;80;9.705
249;479;2021;80;25.510
250;480;2021;80;7.604
251;482;2021;80;19.184
252;492;2021;80;56.374
253;510;2021;80;17.361
254;530;2021;80;3.949
255;540;2021;80;19.876
256;550;2021;80;15.123
257;561;2021;80;18.816
258;563;2021;80;22.002
259;573;2021;80;17.934
260;575;2021;80;15.177
261;580;2021;80;15.601
262;607;2021;80;30.069
263;621;2021;80;18.343
264;630;2021;80;14.162
265;615;2021;80;15.970
266;657;2021;80;13.385
267;661;2021;80;17.475
268;665;2021;80;18.342
269;671;2021;80;24.128
270;706;2021;80;18.114
271;707;2021;80;22.977
272;710;2021;80;13.235
273;727;2021;80;17.427
274;730;2021;80;18.270
275;740;2021;80;12.202
276;741;2021;80;122.342
277;746;2021;80;15.336
278;751;2021;80;19.375
279;756;2021;80;17.411
280;760;2021;80;19.233
281;766;2021;80;12.728
282;779;2021;80;18.695
283;791;2021;80;13.669
284;773;2021;80;25.580
285;787;2021;80;18.705
286;810;2021;80;19.451
287;813;2021;80;20.648
288;820;2021;80;26.057
