Id;Gruppe
1;Indbyggertal 1. januar
2;Andel 0-2-årige
3;Andel 0-5-årige
4;Andel 0-9-årige
5;Andel 0-10-årige
6;Andel 0-13-årige
7;Andel 0-17-årige
8;Andel 3-5-årige
9;Andel 6-9-årige
10;Andel 6-13-årige
11;Andel 6-16-årige
12;Andel 10-13-årige
13;Andel 17-64-årige
14;Andel 17-66-årige
15;Andel 18-66-årige
16;Andel 18+-årige
17;Andel 25-64-årige
18;Andel 65+-årige
19;Andel 67+-årige
20;Andel 80+-årige
21;Areal (km2) (abs)
22;Befolkningstæthed (indb/km2)
23;Befolkningsandel i bymæssig bebyggelse
24;Andel ejerboliger
25;Andel almennyttige boliger
26;Andel udpendlere
27;Andel indpendlere
28;Andel 25-64-årige uden erhvervsuddannelse
29;Andel 25-64-årige med videregående uddannelse
30;Fuldtidsledige pr. 100 17-64/66-årige
31;Børn af enlige forsørgere pr. 100 0-17-årige
32;Statsborgere fra vestlige lande pr. 10.000 indb.
33;Statsborgere fra ikke-vestlige lande pr. 10.000 indb.
34;Anmeldte tyverier/indbrud pr. 1.000 indb.
35;Anmeldte voldsforbrydelser pr. 1.000 indb.
36;Andel opstillede kvinder ved kommunalvalg
37;Andel valgte kvinder ved kommunalvalg
38;Udskrivningsprocent
39;Kirkeskatteprocent
40;Grundskyldpromille
41;Dækningsafgiftspromille af forretningsejendomme
42;Dækn.afg.prm. af andre off. ejendommes grundværdi
43;Grundværdier pr. indb. (til brug for udligning)
44;Beskatningsgrundlag pr. indb. (til brug for udligning)
45;Udgiftsbehov pr. indb.
46;Socioøkonomisk indeks
47;Statsgar. udskrivningsgrundlag pr. indb. (fra 2007)
48;Budgetteret udskrivningsgrundlag pr. indb. (fra 2007)
49;Nettodriftsudgifter pr. indb.
50;Serviceudgifter pr. indb.
51;Udg. til byudvikling, bolig og miljø pr. indb.
52;Udg. til transport og infrastruktur pr. indb.
53;Udg. til folkeskoleområdet pr. indb.
54;Udg. til bibl./kultur/folkeopl. pr. indb.
55;Udg. til sundh.ydelser ekskl. medfin. pr. indb.
56;Udg. til akt.bestemt medfinans. af sundh.v. pr. indb.
57;Udg. (netto) til dagtilbud pr. indb.
58;Udg. (brutto) til dagtilbud pr. indb.
59;Udg. til ældre samt voksne med særl. behov pr. indb.
60;Udg. til lønpuljer pr. indb.
61;Udg. til overførsler pr. indb.
62;Udg. (brutto) til skattefinansieret anlæg pr. indb.
63;Udg. til ledelse og adm. pr. indb.
64;Udg. til central ledelse og adm. pr. indb.
65;Udg. til decentral led. og adm. pr. indb.
66;Udgifter i alt pr. indb.
67;Driftsfinansiering ekskl. forsyningsvirks. pr. indb.
68;Driftsindtægter ekskl. forsyningsvirks. pr. indb.
69;Indtægter fra indkomstskat pr. indb.
70;Indtægter fra ejendomsskat pr. indb.
71;Indtægter fra selskabsskat pr. indb.
72;Indtægter fra tilskud og udlign. pr. indb.
73;Indtægter fra refusioner mv. pr. indb.
74;Indt. fra den centr. ref.ordn. vedr. b/u pr. 0-17-årig
75;Indt., centr. ref.ordn., voksne/hand. pr. 18-66-årig
76;Refusion af købsmoms pr. indb.
77;Anden finansiering pr. indb.
78;Anlægsindt. excl. forsyningsvirksomhed pr. indb.
79;Drifts- og anl.fin. inkl. fors.virks. i alt pr. indb.
80;Langfristet gæld ultimo året pr. indb.
81;Langfristet gæld ekskl. ældrebol. ult. året pr. indb.
82;Langfristet gæld ekskl. feriepenge ult. året pr. indb.
83;Langfr. gæld ex. ældrebol./feriep. ult. året pr. indb.
84;Likvide aktiver ultimo året pr. indb.
85;Likviditet efter kassekreditreglen pr. indb.
86;Personaleforbrug i alt pr. 1.000 indb.
87;Årsværk til ledelse og administration pr. 1.000 indb.
88;Privat-leverandør-indikator (pct.)
89;Indikator for konkurrenceudsættelse (pct.)
90;Indikator for konkurrenceudsættelse på hkt 0 (pct.)
91;Indikator for konkurrenceudsættelse på hkt 2 (pct.)
