De Kommunale Nøgletal;;;;;;
;;;;;;
;Kom.nr;2019;2020;2021;2022;2023
;;;;;;
Langfristet gæld ultimo året pr. indb.;;;;;;
Københavns Kommune;101;5.522;4.339;4.151;4.011;M
Frederiksberg Kommune;147;16.359;17.427;18.996;20.236;M
Ballerup Kommune;151;13.617;15.887;15.847;15.310;M
Brøndby Kommune;153;5.098;6.181;8.511;7.814;M
Dragør Kommune;155;17.548;21.447;20.761;19.286;M
Gentofte Kommune;157;21.330;25.456;26.318;26.762;M
Gladsaxe Kommune;159;19.211;21.221;17.900;16.166;M
Glostrup Kommune;161;9.857;12.655;14.047;13.733;M
Herlev Kommune;163;11.554;13.687;14.008;13.793;M
Albertslund Kommune;165;27.110;30.229;31.258;31.453;M
Hvidovre Kommune;167;9.622;12.156;12.131;12.339;M
Høje-Taastrup Kommune;169;14.035;15.578;11.543;10.814;M
Lyngby-Taarbæk Kommune;173;9.491;10.714;10.174;9.975;M
Rødovre Kommune;175;16.139;20.725;23.390;22.158;M
Ishøj Kommune;183;27.344;29.041;26.015;19.842;M
Tårnby Kommune;185;1.092;3.042;U;U;M
Vallensbæk Kommune;187;24.223;26.010;26.382;24.565;M
Furesø Kommune;190;62.485;64.131;61.554;58.870;M
Allerød Kommune;201;10.834;13.651;13.368;14.983;M
Fredensborg Kommune;210;10.891;11.369;9.907;8.289;M
Helsingør Kommune;217;10.109;11.393;10.268;10.233;M
Hillerød Kommune;219;12.066;14.716;14.457;12.781;M
Hørsholm Kommune;223;11.113;18.294;15.919;16.984;M
Rudersdal Kommune;230;17.693;20.209;23.906;24.497;M
Egedal Kommune;240;24.576;26.014;12.856;13.246;M
Frederikssund Kommune;250;18.794;19.761;16.998;16.185;M
Halsnæs Kommune;260;26.235;28.605;29.447;28.770;M
Gribskov Kommune;270;17.913;20.498;19.567;18.613;M
Bornholms Kommune;400;16.069;18.787;18.370;18.113;M
Greve Kommune;253;15.475;15.708;14.779;13.906;M
Køge Kommune;259;17.947;19.729;20.472;19.930;M
Roskilde Kommune;265;14.510;18.865;19.090;18.770;M
Solrød Kommune;269;14.585;15.563;14.496;13.469;M
Odsherred Kommune;306;18.413;20.731;20.902;20.606;M
Holbæk Kommune;316;19.841;21.041;19.492;18.946;M
Faxe Kommune;320;11.526;12.521;11.859;11.134;M
Kalundborg Kommune;326;9.465;7.463;6.424;5.365;M
Ringsted Kommune;329;12.607;14.838;15.195;14.084;M
Slagelse Kommune;330;17.236;20.447;18.543;18.362;M
Stevns Kommune;336;13.873;14.700;13.413;12.670;M
Sorø Kommune;340;25.714;26.198;23.862;22.345;M
Lejre Kommune;350;17.689;21.277;18.233;20.459;M
Lolland Kommune;360;27.984;30.935;30.919;28.945;M
Næstved Kommune;370;19.401;20.613;17.734;16.010;M
Guldborgsund Kommune;376;26.601;27.842;26.316;25.154;M
Vordingborg Kommune;390;21.749;24.998;24.167;24.134;M
Middelfart Kommune;410;13.577;15.922;15.805;14.342;M
Assens Kommune;420;22.004;19.845;18.252;17.500;M
Faaborg-Midtfyn Kommune;430;10.275;11.805;11.012;10.921;M
Kerteminde Kommune;440;22.933;23.733;21.507;20.830;M
Nyborg Kommune;450;1.672;641;586;534;M
Odense Kommune;461;8.500;10.126;9.705;9.427;M
Svendborg Kommune;479;23.001;25.032;25.510;24.508;M
Nordfyns Kommune;480;7.087;8.550;7.604;6.743;M
Langeland Kommune;482;19.276;20.710;19.184;17.949;M
Ærø Kommune;492;47.264;52.100;56.374;55.051;M
Haderslev Kommune;510;14.899;17.571;17.361;15.875;M
Billund Kommune;530;5.060;7.020;3.949;3.699;M
Sønderborg Kommune;540;18.336;20.149;19.876;21.745;M
Tønder Kommune;550;13.421;15.375;15.123;14.854;M
Esbjerg Kommune;561;14.946;18.307;18.816;19.169;M
Fanø Kommune;563;15.212;20.985;22.002;22.976;M
Varde Kommune;573;15.873;17.525;17.934;18.859;M
Vejen Kommune;575;12.701;15.273;15.177;15.188;M
Aabenraa Kommune;580;14.524;16.633;15.601;14.855;M
Fredericia Kommune;607;21.054;28.516;30.069;28.140;M
Kolding Kommune;621;15.172;19.353;18.343;17.432;M
Vejle Kommune;630;14.216;15.578;14.162;13.740;M
Horsens Kommune;615;16.491;16.595;15.970;15.116;M
Herning Kommune;657;11.008;13.879;13.385;13.391;M
Holstebro Kommune;661;15.239;18.009;17.475;18.344;M
Lemvig Kommune;665;19.805;21.564;18.342;19.340;M
Struer Kommune;671;22.811;24.994;24.128;24.242;M
Syddjurs Kommune;706;14.847;17.566;18.114;19.630;M
Norddjurs Kommune;707;26.201;25.346;22.977;19.670;M
Favrskov Kommune;710;13.910;13.853;13.235;10.657;M
Odder Kommune;727;17.578;18.229;17.427;17.669;M
Randers Kommune;730;17.712;19.544;18.270;17.726;M
Silkeborg Kommune;740;9.638;11.146;12.202;11.930;M
Samsø Kommune;741;111.599;121.570;122.342;119.659;M
Skanderborg Kommune;746;12.139;16.146;15.336;15.373;M
Aarhus Kommune;751;20.183;17.255;19.375;18.922;M
Ikast-Brande Kommune;756;12.217;18.581;17.411;16.449;M
Ringkøbing-Skjern Kommune;760;17.044;19.557;19.233;20.140;M
Hedensted Kommune;766;10.954;14.047;12.728;12.118;M
Skive Kommune;779;19.886;18.876;18.695;17.617;M
Viborg Kommune;791;12.840;14.450;13.669;10.300;M
Morsø Kommune;773;19.785;21.770;25.580;25.171;M
Thisted Kommune;787;16.561;18.955;18.705;18.920;M
Brønderslev Kommune;810;17.832;19.011;19.451;19.012;M
Frederikshavn Kommune;813;20.521;21.326;20.648;18.148;M
Vesthimmerlands Kommune;820;24.715;25.543;26.057;24.057;M
Læsø Kommune;825;44.895;74.341;68.639;66.288;M
Rebild Kommune;840;11.342;15.502;14.975;13.732;M
Mariagerfjord Kommune;846;23.168;23.252;22.305;19.702;M
Jammerbugt Kommune;849;23.395;24.522;25.389;24.778;M
Aalborg Kommune;851;9.286;12.090;13.144;13.193;M
Hjørring Kommune;860;24.354;25.688;23.248;23.297;M
Gennemsnit;;15.134;16.519;16.228;15.716;M
;;;;;;
Langfristet gæld ekskl. ældrebol. ult. året pr. indb.;;;;;;
Københavns Kommune;101;5.201;4.033;3.865;3.737;M
Frederiksberg Kommune;147;13.127;14.421;16.144;17.553;M
Ballerup Kommune;151;12.782;15.114;15.123;14.643;M
Brøndby Kommune;153;0;1.425;4.160;3.953;M
Dragør Kommune;155;10.011;14.303;14.011;12.790;M
Gentofte Kommune;157;16.149;17.721;18.902;19.234;M
Gladsaxe Kommune;159;11.425;13.880;10.712;9.511;M
Glostrup Kommune;161;5.580;8.500;8.737;8.748;M
Herlev Kommune;163;11.554;13.687;14.008;13.793;M
Albertslund Kommune;165;18.199;21.600;22.746;23.589;M
Hvidovre Kommune;167;6.158;8.887;9.054;9.460;M
Høje-Taastrup Kommune;169;8.788;10.710;7.079;6.752;M
Lyngby-Taarbæk Kommune;173;3.695;6.458;6.180;6.190;M
Rødovre Kommune;175;12.568;17.397;17.086;16.327;M
Ishøj Kommune;183;17.760;20.079;17.669;12.131;M
Tårnby Kommune;185;1.092;3.042;U;U;M
Vallensbæk Kommune;187;20.689;22.702;21.493;20.141;M
Furesø Kommune;190;62.153;63.830;61.287;58.753;M
Allerød Kommune;201;9.645;12.544;12.337;13.515;M
Fredensborg Kommune;210;10.891;11.369;9.907;8.289;M
Helsingør Kommune;217;10.109;11.393;10.268;10.233;M
Hillerød Kommune;219;11.237;13.939;13.751;12.131;M
Hørsholm Kommune;223;11.113;18.294;15.919;16.984;M
Rudersdal Kommune;230;7.308;10.347;12.425;13.518;M
Egedal Kommune;240;23.285;24.825;11.778;12.277;M
Frederikssund Kommune;250;12.740;14.055;11.680;11.232;M
Halsnæs Kommune;260;20.124;22.882;24.106;23.843;M
Gribskov Kommune;270;15.695;18.429;17.664;16.873;M
Bornholms Kommune;400;8.207;11.325;11.296;11.363;M
Greve Kommune;253;10.654;11.105;10.431;9.816;M
Køge Kommune;259;14.926;16.907;16.228;15.964;M
Roskilde Kommune;265;10.560;13.086;13.603;13.609;M
Solrød Kommune;269;7.849;9.220;8.602;8.024;M
Odsherred Kommune;306;16.343;18.814;19.140;18.998;M
Holbæk Kommune;316;16.728;18.079;16.712;16.297;M
Faxe Kommune;320;8.049;9.256;8.841;8.323;M
Kalundborg Kommune;326;7.785;5.899;4.975;4.031;M
Ringsted Kommune;329;9.938;12.300;12.834;11.912;M
Slagelse Kommune;330;10.728;14.250;12.722;12.846;M
Stevns Kommune;336;9.365;10.493;9.535;9.293;M
Sorø Kommune;340;18.562;19.457;17.540;16.471;M
Lejre Kommune;350;11.299;15.282;12.693;14.036;M
Lolland Kommune;360;24.947;28.081;28.266;26.507;M
Næstved Kommune;370;12.072;13.727;11.345;10.095;M
Guldborgsund Kommune;376;23.777;25.257;23.912;22.907;M
Vordingborg Kommune;390;14.994;18.523;18.043;18.369;M
Middelfart Kommune;410;8.497;11.157;11.386;10.224;M
Assens Kommune;420;16.994;15.109;13.824;13.348;M
Faaborg-Midtfyn Kommune;430;9.797;11.362;10.606;10.552;M
Kerteminde Kommune;440;17.111;18.295;16.509;16.249;M
Nyborg Kommune;450;1.040;53;49;47;M
Odense Kommune;461;5.611;7.426;7.195;7.110;M
Svendborg Kommune;479;19.706;21.943;22.648;21.845;M
